;id;age;job;marital;education;default;housing;day_of_week
2292;2292;51;entrepreneur;divorced;university.degree;no;yes;mon
1536;1536;37;management;married;university.degree;no;yes;tue
4047;4047;38;blue-collar;married;basic.4y;unknown;no;wed
3862;3862;;technician;married;professional.course;no;yes;fri
1340;1340;32;admin.;married;university.degree;no;yes;
3686;3686;45;technician;married;basic.9y;unknown;no;fri
1565;1565;38;admin.;single;university.degree;no;yes;mon
3186;3186;54;admin.;married;high.school;unknown;yes;mon
3588;3588;30;admin.;divorced;university.degree;no;no;tue
3441;3441;41;admin.;divorced;high.school;no;no;mon
3111;3111;31;self-employed;divorced;university.degree;no;unknown;thu
2410;2410;;self-employed;divorced;basic.9y;no;yes;tue
2799;2799;46;services;married;high.school;no;no;
1343;1343;43;management;divorced;high.school;no;yes;mon
3437;3437;35;blue-collar;married;basic.9y;no;no;wed
3948;3948;54;blue-collar;married;basic.6y;unknown;no;wed
257;257;57;blue-collar;married;unknown;unknown;yes;tue
2156;2156;51;technician;divorced;high.school;no;yes;mon
1125;1125;31;management;single;university.degree;no;yes;thu
541;541;30;technician;single;university.degree;unknown;yes;thu
3103;3103;37;technician;married;professional.course;unknown;yes;fri
1550;1550;;blue-collar;married;high.school;no;no;mon
1926;1926;49;blue-collar;married;basic.9y;no;no;
2729;2729;47;technician;single;university.degree;no;no;fri
1503;1503;47;technician;divorced;high.school;no;yes;thu
2112;2112;27;technician;married;university.degree;no;yes;fri
4026;4026;;admin.;single;high.school;no;yes;wed
3338;3338;52;self-employed;single;professional.course;no;no;
2619;2619;30;blue-collar;married;basic.9y;no;yes;wed
3637;3637;36;admin.;married;university.degree;no;yes;tue
1034;1034;31;management;married;basic.9y;no;no;wed
3321;3321;;blue-collar;divorced;basic.6y;no;yes;fri
2010;2010;31;blue-collar;married;basic.9y;no;no;
3287;3287;35;technician;divorced;professional.course;no;yes;thu
3886;3886;52;technician;married;high.school;unknown;no;wed
2662;2662;33;management;married;university.degree;no;no;mon
1361;1361;36;admin.;single;high.school;no;yes;fri
3567;3567;;blue-collar;married;basic.4y;unknown;yes;thu
2562;2562;49;admin.;married;university.degree;no;no;
1807;1807;57;retired;single;basic.4y;no;yes;thu
3430;3430;55;blue-collar;married;basic.9y;unknown;yes;mon
1659;1659;;blue-collar;divorced;basic.4y;unknown;no;wed
2196;2196;30;admin.;married;high.school;no;no;
1287;1287;40;services;single;high.school;no;no;wed
1635;1635;43;technician;married;professional.course;no;no;fri
865;865;38;technician;married;university.degree;unknown;no;thu
3912;3912;;blue-collar;married;basic.6y;unknown;yes;fri
2388;2388;35;technician;married;high.school;no;no;
3017;3017;31;admin.;single;university.degree;no;yes;wed
996;996;30;entrepreneur;married;high.school;no;yes;wed
