,id,age,job,marital,education,default,housing,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0,2292,51.0,entrepreneur,divorced,university.degree,no,yes,telephone,may,mon,-0.19326852732644625,1,999,1,failure,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.7572649738915027,5099.1
1,1536,37.0,management,married,university.degree,no,yes,cellular,aug,tue,-0.03509479652219366,2,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.6610440000357322,5228.1
2,4047,38.0,blue-collar,married,basic.4y,unknown,no,telephone,jun,wed,-0.8655068832445199,2,999,0,nonexistent,0.7807307964411396,1.7210540933184397,-0.4237316196235856,0.6551119256924927,5228.1
3,3862,52.0,technician,married,professional.course,no,yes,cellular,nov,fri,1.1116647518086378,1,3,1,success,-2.70208316537807,-1.844188461739804,2.428776981985132,-2.1428498062020593,5017.5
4,1340,32.0,admin.,married,university.degree,no,yes,cellular,aug,wed,0.7804885029372338,4,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.6584075225498484,5228.1
5,3686,45.0,technician,married,basic.9y,unknown,no,cellular,nov,fri,-0.4750154853215212,1,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.03685795525266008,5195.8
6,1565,38.0,admin.,single,university.degree,no,yes,telephone,jul,mon,-0.37121397448123045,2,999,0,nonexistent,-2.3392900443552356,-2.1975715343777487,1.5754624430423527,-2.011025931907852,5076.2
7,3186,54.0,admin.,married,high.school,unknown,yes,telephone,jun,mon,1.0869501063704732,12,999,0,nonexistent,0.7807307964411396,1.7210540933184397,-0.4237316196235856,0.5931547047742155,5228.1
8,3588,30.0,admin.,divorced,university.degree,no,no,cellular,nov,tue,-0.3563851872183318,1,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.12386171228683676,5195.8
9,3441,41.0,admin.,divorced,high.school,no,no,telephone,may,mon,-0.46018669805862256,4,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5878817498024472,5191.0
10,3111,31.0,self-employed,divorced,university.degree,no,unknown,cellular,jul,thu,-0.040037725609826554,1,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.654452806321022,5228.1
11,2410,33.0,self-employed,divorced,basic.9y,no,yes,telephone,may,tue,0.4196546795400326,1,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.587222630430976,5191.0
12,2799,46.0,services,married,high.school,no,no,cellular,jul,thu,-0.8803356705074186,1,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6610440000357322,5228.1
13,1343,43.0,management,divorced,high.school,no,yes,cellular,nov,mon,1.0770642481952075,2,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.14890824840273634,5195.8
14,3437,35.0,blue-collar,married,basic.9y,no,no,cellular,jul,wed,4.888062574760169,6,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6577484031783771,5228.1
15,3948,54.0,blue-collar,married,basic.6y,unknown,no,cellular,nov,wed,0.14779357972022342,5,999,1,failure,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.10211077302829288,5195.8
16,257,57.0,blue-collar,married,unknown,unknown,yes,telephone,may,tue,1.0029203118807142,2,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.587222630430976,5191.0
17,2156,51.0,technician,divorced,high.school,no,yes,cellular,nov,mon,-0.9347078904713804,1,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.14890824840273634,5195.8
18,1125,31.0,management,single,university.degree,no,yes,cellular,may,thu,-0.5195018471102173,2,999,0,nonexistent,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.779015913150047,5099.1
19,541,30.0,technician,single,university.degree,unknown,yes,cellular,aug,thu,-0.8259634505434567,2,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.6610440000357322,5228.1
20,3103,37.0,technician,married,professional.course,unknown,yes,telephone,may,fri,-0.34649932904306596,3,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5865635110595053,5191.0
21,1550,36.0,blue-collar,married,high.school,no,no,telephone,may,mon,0.0785925724933629,1,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5878817498024472,5191.0
22,1926,49.0,blue-collar,married,basic.9y,no,no,telephone,may,tue,-0.3514422581306989,4,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.587222630430976,5191.0
23,2729,47.0,technician,single,university.degree,no,no,cellular,apr,fri,-0.766648301491862,2,999,0,nonexistent,-1.5411451781050005,-1.0078485231633632,-1.7158936357369377,-1.6873983205155727,5099.1
24,1503,47.0,technician,divorced,high.school,no,yes,cellular,jul,thu,0.1626223669831221,3,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6570892838069058,5228.1
25,2112,27.0,technician,married,university.degree,no,yes,cellular,may,fri,-0.6875614360897356,3,999,0,nonexistent,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.7895618230935835,5099.1
26,4026,26.0,admin.,single,high.school,no,yes,cellular,jul,wed,1.9667914839691285,1,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6570892838069058,5228.1
27,3338,52.0,self-employed,single,professional.course,no,no,cellular,nov,None,-0.6480180033886725,1,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.07310952068356694,5195.8
28,2619,30.0,blue-collar,married,basic.9y,no,yes,cellular,jul,wed,-0.252583676378041,1,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6570892838069058,5228.1
29,3637,36.0,admin.,married,university.degree,no,yes,cellular,may,tue,-0.36627104539359756,1,999,0,nonexistent,-1.5411451781050005,0.5647061500754343,0.015115857546985788,-2.154054835517067,5008.7
30,1034,31.0,management,married,basic.9y,no,no,telephone,may,wed,-0.5392735634607488,2,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5885408691739179,5191.0
31,3321,41.0,blue-collar,divorced,basic.6y,no,yes,telephone,may,fri,-0.5442164925483818,2,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5878817498024472,5191.0
32,2010,31.0,blue-collar,married,basic.9y,no,no,cellular,jul,wed,2.1991091510878746,1,999,0,nonexistent,0.7807307964411396,0.6471622003576214,-0.643155358208873,0.6537936869495508,5228.1
33,3287,35.0,technician,divorced,professional.course,no,yes,telephone,jun,thu,0.20710872877181816,2,999,0,nonexistent,0.7807307964411396,1.7210540933184397,-0.4237316196235856,0.654452806321022,5228.1
34,3886,52.0,technician,married,high.school,unknown,no,telephone,may,wed,-0.998965968610608,1,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5885408691739179,5191.0
35,2662,33.0,management,married,university.degree,no,no,cellular,aug,mon,-0.39098569083176204,3,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.659066641921319,5228.1
36,1361,36.0,admin.,single,high.school,no,yes,cellular,apr,fri,0.7063445666227405,2,999,0,nonexistent,-1.5411451781050005,-1.0078485231633632,-1.7158936357369377,-1.6873983205155727,5099.1
37,3567,53.0,blue-collar,married,basic.4y,unknown,yes,cellular,aug,thu,0.869461226514626,1,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.6610440000357322,5228.1
38,2562,49.0,admin.,married,university.degree,no,no,cellular,nov,tue,-0.5293877052854831,1,999,1,failure,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.12386171228683676,5195.8
39,1807,57.0,retired,single,basic.4y,no,yes,telephone,jun,thu,-0.8061917341929251,1,999,0,nonexistent,0.7807307964411396,1.7210540933184397,-0.4237316196235856,0.6564301644354351,5228.1
40,3430,55.0,blue-collar,married,basic.9y,unknown,yes,cellular,aug,mon,0.167565296070755,4,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.659066641921319,5228.1
41,1659,55.0,blue-collar,divorced,basic.4y,unknown,no,cellular,may,wed,-0.6925043651773686,1,999,1,failure,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.7691291225779815,5099.1
42,2196,30.0,admin.,married,high.school,no,no,cellular,may,wed,-0.5145589180225844,1,999,1,failure,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.7691291225779815,5099.1
43,1287,40.0,services,single,high.school,no,no,cellular,may,wed,-0.3613281163059647,1,999,0,nonexistent,-1.5411451781050005,-1.3651580743861644,-1.496469897151652,-1.7341957958900163,5099.1
44,1635,43.0,technician,married,professional.course,no,no,telephone,may,fri,-0.025208938346927872,2,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5924955854027443,5191.0
45,865,38.0,technician,married,university.degree,unknown,no,telephone,may,thu,-0.06475237104799103,2,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5865635110595053,5191.0
46,3912,41.0,blue-collar,married,basic.6y,unknown,yes,telephone,may,fri,-0.5442164925483818,6,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5891999885453891,5191.0
47,2388,35.0,technician,married,high.school,no,no,telephone,may,None,-0.3069558963420028,3,999,0,nonexistent,0.5630549238274392,0.7963683865825127,0.8928108118881303,0.5885408691739179,5191.0
48,3017,31.0,admin.,single,university.degree,no,yes,cellular,aug,wed,-0.6529609324763054,2,999,0,nonexistent,0.7807307964411396,-0.2834132242556048,0.9659520580832249,0.6584075225498484,5228.1
49,996,30.0,entrepreneur,married,high.school,no,yes,cellular,nov,wed,-0.5244447761978501,3,999,0,nonexistent,-0.3076485666273635,-0.7624436116092443,-0.4724924504203165,0.10211077302829288,5195.8
